id;Município;Ano;COB_SUS;POP_60+;pop_60_porc;POP_TOT;POP_3059;pop_3059_porc;pop_ratio;IDH_MUN;COB_BFA;COB_SAN;LEIT_porc_MUN;MED_porc_MUN;UBS_porc_MUN;DESP_CAP;PIB_CAP
1;Arujá;2000;72.07;3333;0.05529931;60272;20886;0.35;0.401828378;0.67;;28.15;;;;63.5;
1;Arujá;2001;64.12;3555;0.057214131;62135;21862;0.35;0.409060916;;;;;;;115.69;
1;Arujá;2002;66.59;3777;0.059127413;63879;22816;0.36;0.416302697;;;;;;;81.34;9099.63
1;Arujá;2003;68.26;3996;0.060957379;65554;23755;0.36;0.423330384;;;;;;;106.22;10253.17
1;Arujá;2004;65.72;4222;0.062817098;67211;24696;0.37;0.430256952;;;;;;;143.94;12185.02
1;Arujá;2005;64.11;4465;0.064840766;68861;25643;0.37;0.43722862;;27.06;;0;0.86;0;151.44;14351.4
1;Arujá;2006;60.29;4790;0.067977975;70464;26600;0.38;0.445475704;;;;0;1.15;0;160.03;15135.27
1;Arujá;2007;57.13;5128;0.07120541;72017;27550;0.38;0.453753975;;;;0;1.01;0;215.19;16558.15
1;Arujá;2008;57.85;5490;0.074601514;73591;28508;0.39;0.461985841;;84.99;;0;0.86;0.68;262.73;20985.51
1;Arujá;2009;65.69;5876;0.078142454;75196;29475;0.39;0.470118091;;;;0;0.57;0.66;254.45;21558.5
1;Arujá;2010;66.51;6276;0.081732585;76787;30438;0.4;0.478127808;0.784;71.03;58.3;0.12;0.7;0.78;280.07;26598.86
1;Arujá;2011;64.55;6787;0.086725958;78258;31317;0.4;0.486902298;;;;0.19;0.75;0.77;335.13;28319.31
1;Arujá;2012;63.65;7312;0.091694569;79743;32192;0.4;0.495391445;;;;0.19;0.88;0.88;439.33;30284.88
1;Arujá;2013;61.81;7849;0.096643519;81216;33056;0.41;0.503656915;;;;0.18;1.06;0.86;475.19;36452.77
1;Arujá;2014;63.5;8400;0.101585459;82689;33899;0.41;0.511543252;;;;0.18;0.98;0.85;525.05;46739.63
1;Arujá;2015;64.7;8968;0.106513374;84196;34714;0.41;0.518813245;;48.87;;0.18;1.06;0.83;559.1;58323.7
1;Arujá;2016;66.65;9609;0.112187832;85651;35506;0.41;0.526730569;;;;0.28;1.06;0.93;658.51;57597.37
1;Arujá;2017;66.76;10262;0.11788221;87053;36255;0.42;0.534352636;;;;0.28;1.11;0.92;645.43;62283.11
1;Arujá;2018;65.64;10929;0.12355435;88455;36970;0.42;0.541506981;;44.76;;0.27;1.03;0.9;721.42;
1;Arujá;2019;65.16;11598;0.129119166;89824;37637;0.42;0.548127449;;;;0.27;1.16;0.89;750.09;
1;Arujá;2020;65.69;12273;0.134635848;91157;38256;0.42;0.554307404;;;;0.33;1.12;0.77;;
2;Barueri;2000;29.01;9510;0.04483565;212108;72451;0.34;0.386411639;0.705;;79.33;;;;280.28;
2;Barueri;2001;31.48;10115;0.046823935;216022;75021;0.35;0.394108008;;;;;;;301.01;
2;Barueri;2002;26.67;10717;0.048783485;219685;77579;0.35;0.401920932;;;;;;;353.83;51430.31
2;Barueri;2003;38.87;11324;0.050734085;223203;80125;0.36;0.409712235;;;;;;;335.84;62952.04
2;Barueri;2004;36.14;11957;0.05274767;226683;82694;0.36;0.417547853;;;;;;;410.61;72508.84
2;Barueri;2005;31.46;12628;0.054868802;230149;85287;0.37;0.425441779;;0;;0.32;1.43;0.7;474.92;90317.83
2;Barueri;2006;35.11;13490;0.057768813;233517;87734;0.38;0.433475935;;;;0.36;1.88;0.69;513.93;109996.19
2;Barueri;2007;35.92;14393;0.060786897;236778;90193;0.38;0.441704888;;;;0.41;2.18;0.68;644.3;123285.9
2;Barueri;2008;39.98;15368;0.06401093;240084;92679;0.39;0.45003832;;69.86;;0.92;2.86;0.62;807.1;117092.84
2;Barueri;2009;41.2;16415;0.067424915;243456;95188;0.39;0.458411376;;;;1.49;4.16;0.62;931.58;120105.49
2;Barueri;2010;40.93;17496;0.070891985;246798;97698;0.4;0.466754188;0.786;63.14;90.95;1.55;4.62;0.65;1032.41;124839.18
2;Barueri;2011;39.38;18809;0.075269721;249888;100037;0.4;0.475597067;;;;1.53;3.62;0.64;1375.59;141865.03
2;Barueri;2012;38.49;20155;0.079661513;253008;102385;0.4;0.484332511;;;;1.51;3.51;0.63;1483.71;161221.38
2;Barueri;2013;35.61;21541;0.084111675;256100;104709;0.41;0.492971496;;;;1.49;4.1;0.62;1864.57;176923.91
2;Barueri;2014;30.56;22969;0.088616679;259195;106966;0.41;0.501302108;;;;1.55;4.3;0.62;2060.14;181938.79
2;Barueri;2015;33.39;24442;0.093162067;262360;109119;0.42;0.509075316;;41.51;;1.41;3.74;0.61;2261.08;188743.69
